"symbol_ticker","exchange"
AAME,NASDAQ
AAON,NASDAQ
AAPL,NASDAQ
AATC,NASDAQ
ACGLN,NASDAQ
ACIC,NASDAQ
ACNB,NASDAQ
ADEA,NASDAQ
ADI,NASDAQ
ADP,NASDAQ
AEIS,NASDAQ
AEP,NASDAQ
AFBI,NASDAQ
AFCG,NASDAQ
AFYA,NASDAQ
ALCO,NASDAQ
ALNT,NASDAQ
ALRS,NASDAQ
AMAL,NASDAQ
AMAT,NASDAQ
AMGN,NASDAQ
AMKR,NASDAQ
AMRK,NASDAQ
AMSF,NASDAQ
ANDE,NASDAQ
APA,NASDAQ
APOG,NASDAQ
ARCB,NASDAQ
ARKO,NASDAQ
AROW,NASDAQ
ARTNA,NASDAQ
ASO,NASDAQ
ASRV,NASDAQ
ASTE,NASDAQ
ASTL,NASDAQ
ATAT,NASDAQ
ATLCP,NASDAQ
ATLCZ,NASDAQ
ATLO,NASDAQ
ATNI,NASDAQ
AUBN,NASDAQ
AUDC,NASDAQ
AVGO,NASDAQ
AVT,NASDAQ
AVTE,NASDAQ
BAFN,NASDAQ
BANF,NASDAQ
BANR,NASDAQ
BANX,NASDAQ
BBCP,NASDAQ
BBSI,NASDAQ
BCBP,NASDAQ
BCML,NASDAQ
BELFA,NASDAQ
BELFB,NASDAQ
BFC,NASDAQ
BFIN,NASDAQ
BFST,NASDAQ
BGC,NASDAQ
BHFAN,NASDAQ
BHFAO,NASDAQ
BHRB,NASDAQ
BKNG,NASDAQ
BKR,NASDAQ
BLMN,NASDAQ
BMRC,NASDAQ
BOKF,NASDAQ
BOTJ,NASDAQ
BPOP,NASDAQ
BPRN,NASDAQ
BRKL,NASDAQ
BRKR,NASDAQ
BRY,NASDAQ
BSET,NASDAQ
BSRR,NASDAQ
BSVN,NASDAQ
BSY,NASDAQ
BTSGU,NASDAQ
BUSE,NASDAQ
BWBBP,NASDAQ
BWFG,NASDAQ
CAC,NASDAQ
CAKE,NASDAQ
CALM,NASDAQ
CASS,NASDAQ
CASY,NASDAQ
CBFV,NASDAQ
CBNK,NASDAQ
CBRL,NASDAQ
CBSH,NASDAQ
CCAP,NASDAQ
CCBG,NASDAQ
CCEC,NASDAQ
CCEP,NASDAQ
